Title,Description,Estimated Difficulty,Solution,# of Requests,# of Accounts Req.,# of Users Impacted,Value,Tags,Note from Product
Work Order Improvement - SMS Notification for Assigned Work Orders,"Summary:
Send an SMS notification to a user when a new work order is assigned to them.

Use Case:
Field technicians and staff often rely on real-time alerts to manage their day. Email notifications can be delayed or overlooked, especially while on the road or at a job site. SMS ensures immediate visibility when a new work order is assigned.

Desired Functionality:

Trigger: A new work order is assigned to a user (via dropdown or assigned user field).

Action: Automatically send an SMS to the user’s mobile number on file.

Message Template (example):
'Hi [FirstName], you’ve been assigned a new work order: [WorkOrderName] scheduled for [ScheduledDateTime]. Please check Method for full details.'

Optional: Allow customization of SMS content and opt-in/out at the user level.

Impact:

Faster response time from techs

Reduced missed assignments

Improved communication between dispatch and field teams",X-Small (1 -2 hours),"Relatively small;

1.) Create a button / button menu option
2.) Generate url
3.) Notify the user 

(Optional) on the user table keep track of their cell phone number",1,1,8,"4,800.00",,
Cases App Improvement  - Inbox Monitoring & Auto Case Creation for the Cases App,"Use Case: Aligning Method’s Cases App functionality with modern support workflows (e.g., Zendesk-style ticket automation)

Summary
Customers managing support through email want the ability for Method CRM to monitor a shared inbox (e.g., support@company.com) and automatically:

Create a new Case when a new support email arrives.

Attach replies to the existing Case based on email thread/subject.

Optionally, assign the Case based on routing rules (keywords, customer, etc.).

This is a key feature in Zendesk and similar platforms, and it allows teams to manage support more efficiently without manual entry or toggling between email and CRM.

Current Limitation
There is no native integration between email inboxes (e.g., Gmail, Outlook) and the Method Cases App.

Support staff must manually create Cases from emails, risking delays or lost tickets.

There’s no automated way to thread conversations or track cases based on email responses.

Proposed Functionality
Inbox Monitoring Integration:

Connect to a specified shared inbox (Gmail, Outlook, etc.).

Monitor for new inbound emails (IMAP or API-based connection).

Automated Case Creation:

Create a new Case in Method upon receipt of a new email.

Auto-populate fields:

Subject → Case Title

Email Body → Case Description

Sender’s Email → Linked Contact/Customer

Attachments → Stored in Case record

Threading / Updates:

Recognize replies (via email headers or subject line tracking).

Add reply content as comments or updates to the existing Case.

Optional Routing Rules (Phase 2):

Auto-assign Cases based on:

Customer type

Subject keywords

SLAs or time-of-day triggers

Why This Matters
Creates a seamless support workflow, reducing the need for manual case creation.

Prevents dropped support issues and ensures case accountability.

Matches industry standards set by Zendesk, Freshdesk, etc.—key in competitive sales conversations.

Impact Potential
High relevance for customers offering support services.

Adds significant value to the Cases App, making it a more complete solution.

Could unlock future enhancements around automated SLAs, email templates, and response analytics.",Cannot be customized,At this time this cannot be customized.,1,1,4,"2,400.00",,
API Integration - MRPEasy Integration with Method:CRM,"Summary:
Request to integrate MRPEasy, a cloud-based MRP software for small manufacturers, with Method:CRM to support seamless operations for manufacturing-focused customers using QuickBooks.

Use Case:
Many Method:CRM users in the manufacturing sector rely on MRPEasy for production planning, inventory control, and shop floor management. These users would benefit from a native or API-based integration that allows the following:

Desired Features:

Sync key records: Customers, inventory items, sales orders, and purchase orders between MRPEasy and Method.

Two-way sync for production status updates: View job status, material availability, and work orders in Method.

Integrated quoting & planning: Initiate production quotes in Method that flow into MRPEasy’s BOM and planning modules.

Sync completed jobs to QuickBooks via Method: Close the loop between MRPEasy → Method → QuickBooks.

Benefit:
Improves operational efficiency by giving sales and ops teams full visibility across CRM, MRP, and accounting workflows—removing the need for double entry and manual updates.",X-Large (30 + hours),Advanced Scoping and Project Review Required.,1,1,3,0.00,,
API Integration - AmpTab Integration with Method:CRM,"Summary:
Request to integrate AmpTab, an omni-channel B2B/B2C sales and marketing platform, with Method:CRM to unify customer engagement, lead tracking, and transactional data across platforms.

Use Case:
AmpTab users manage customer outreach, digital catalogs, and order capture through tablets, kiosks, and mobile channels. Method users want to centralize this activity to gain a full 360° view of the customer journey and streamline lead-to-sale workflows.

Desired Features:

Lead & Contact Sync: Sync leads and customer records from AmpTab into Method's Contacts and Opportunities tables.

Order Import: Automatically import B2B/B2C orders placed through AmpTab into Method as Sales Orders or Invoices.

Activity Timeline Integration: Sync marketing and sales touchpoints from AmpTab (e.g., presentations viewed, catalogs browsed, reps assigned) into Method Activities.

Multi-channel Attribution: Track which channel (in-person, kiosk, digital catalog, etc.) originated or influenced a deal inside Method.

Catalog Sync (Optional): Pull or push product data from Method to AmpTab to keep both systems aligned.

Benefit:
This integration bridges the gap between in-person and digital selling, giving sales and operations teams complete visibility into prospect engagement and order activity—within the CRM they already use to manage pipeline and post-sale workflows.",X-Large (30 + hours),"Advanced Scoping is Required. 

Any ecommerce integration can be complex in nature with a lot of moving parts.",1,1,3,0.00,,
Email Campaigns - Add Contact Record ID Column to Email Campaign Analytics Grid,"It would be so benefical to have Contact’s record id in this grid as this way customer can easily export and then Import them back with any tags he needed. 

Example - customer wanted to export all “blocked” emails on Email campaign Record id- 255 and tag them to resend the email campaign.",X-Small (1 -2 hours),"Should be a relatively simple customization; however, remember that blocked contacts are generally blocked for 2 key reasons:

1.) Unable to deliver to that inbox
2.) Repeated bounces",1,1,2,"1,200.00",,
Gmail Custom Server - View Sent Emails - Events does not show any status for CC/BCC recipients,"Example- If we are using Gmail server and send out emails, I know we have limited visibility and can only see status like “sent” but it only shows for “To” email. 

It does not show anything for BCC or CC emails. It would be good to have that show up for us to troubleshoot further and advise the customers if emails were sent or not.",Cannot be customized,Cannot be customized,1,1,4,"2,400.00",,
Work Order List - Changing the Default View - Date Period - Date Range,"Would it be possible to introduce a customizable option for users to select their default date range on Work Orders—similar to how we can star a default view?

Many businesses do not operate on a daily basis, and requiring an extra click to update the date range every time they access the system adds unnecessary friction. 

This enhancement would go a long way in improving user experience for those with weekly, biweekly, or monthly operational cadences.",X-Small (1 -2 hours),"This could be customized; where each user could have their own preference for the date view. 

On Screen load we can make sure this view is set. 
That said this is a bit complicated as it's not a traditional view but a dropdown that is driving behavior in a related grid.

So some customization may be required to make this predictable by user.",1,1,5,"3,000.00",,
Sidebar Improvement  - Ability to Customize Sidebar Color Scheme for Visual Differentiation Between Method Accounts,"This customer manages two separate Method accounts is looking for a way to visually differentiate between them to reduce confusion among users. Currently, both accounts have the same sidebar color scheme, which includes the menu that displays items like Dashboard, Invoices, Work Orders, etc.

The customer’s goal is to quickly identify which account they're in by visually customizing the sidebar or menu color scheme.",Cannot be customized,Cannot be Customized.,1,1,51,"30,600.00",,
Editable Grid Improvement - Make formulas available on Report Designer (Interoperability),"Ideally, it would be great if Editable Grid Formulas - were some how interoperable with Web Report Designer. 

Otherwise, we're basically trying to use two different formula builders to generate the same results in multiple locations.",Cannot be customized,"This cannot be customized at this time; the purpose of the formula builder is to provide quick calculations on the fly that could be exported using the Grid Export. 

However, for a better experience and interoperability you have two options:

1.) Re-create the formulas using a calculated field
2.) Create a custom field and store the information to the table; rather than just calculating it on the fly in a Grid.",1,1,1,600.00,,
Editable Grid Improvement - The ability to nest formulas within eachother (Multiple Formulas),"I would like the ability to be able to use formula created fields on editable grid within other formulas. 

For example:
I want to calculate the change in two field:

 Formula Column C = Field A - Field B 

I cannot use Formula Column C, to then determine Formula Column D. 

 Formula Column D = Formula Column C * 12",Cannot be customized,Cannot be customized at this time; each formula column would need to have the full calculation required.,1,1,1,600.00,,
Subscription Improvement - Subscription amount due message/banner on user screen,"Currently, when there is an overdue payment on an account, all users see a banner message on their Method account. The admin would prefer that this message be visible only to the billing contact or admin users.

Can this be customized to restrict visibility to just those specific users.",Cannot be customized,"This cannot be customized; however, it's important to understand that not all billing contacts login to Method on a regular basis. 

Having this appear as a banner, ensure that users that are using the system are aware and can take action. 

Furthermore, all billing contacts - also receive an email notification that a payment could not be processed.",1,1,7,"4,200.00",,
Status.method.me Updates - Subscription or Notification Users via Email or Push Notification During System Issues or Outages,A customer has suggested that Method should proactively notify users via email or push notification when the platform is experiencing issues or outages. This would help users stay informed without having to contact support or check the system status manually.,Cannot be customized,"This cannot be customized; however, we should consider a subscription flow for our status.method.me page. To ensure users are always up to date on outages or incidents on the platform.",1,1,24,"14,400.00",,
App Routine Improvement - Ability to view action set from Revision History,"Currently, when reviewing the revision history of an app routine, there are limited options:
1.) Publish

Ideally, we would like a view-only version of revisions to access action sets without creating new drafts to review the action set. 

Similar to the read-only view of action sets on screens - when a screen has been published / archived.",Cannot be customized,Cannot be customized at this time.,1,1,3,"1,800.00",,
Email Improvement - Auto-Convert Large Email Attachments to URL,"Summary:
When sending emails with attachments through Method, if the file size exceeds the allowable limit, the email currently fails or sends without the attachment—without any warning to the user. This creates confusion and a poor experience for both sender and recipient.

Proposed Solution:
Introduce a fallback mechanism where, if an attachment exceeds the file size limit:

The attachment is automatically uploaded to a secure, temporary file-hosting URL (e.g., via Method file storage or integrated cloud storage).

The email body is updated to include a secure link to the file (e.g., “View file here: [link]”).

The user receives a confirmation that the file was sent via link instead of attachment.

Additional Enhancements:

Display a warning or file size indicator when uploading large files.

Option to always send files via link, regardless of size.

Benefits:

Prevents silent failures or missing attachments.

Enhances reliability and user confidence.

Improves recipient experience, especially for large or critical documents.",X-Small (1 -2 hours),"This can be customized:

1.) Assign a value to action result (Total Attachment Size)
2.) Loop through attachments that are set to email
3.) Sum all the sizes together
4.) If greater than 15 - 20MB warn the user it's too big. 

Alternatively, invidual files that exceed 10MB can also trigger a warning for example.",1,1,4,"2,400.00",,
Cases app - Automatically Notify the Contact on any updates,The customer wants the ability to automatically notify the contact whenever there are updates or changes to the case details.,X-Small (1 -2 hours),"Yes, this is quite simple:

1.) Enable notify contact by default on cases.
2.) Make all activities, linked to cases default to 'external' and notify contact when an activity linked to a case is created or updated.",1,1,1,600.00,,
API Integration - Integration with Korona POS System,"Objective:
Create a native integration between Method:CRM and Korona POS to allow sales data and customer information to flow directly into Method. This will enable cleaner and more accurate data to be pushed to QuickBooks from Method, improving the reliability of the overall workflow.

Problem:
Currently, Korona POS only supports a one-way integration to QuickBooks. However, this direct sync often results in incomplete or inaccurate customer records. Additionally, businesses lack visibility into sales data within their CRM and are unable to utilize Method’s customization, automation, and reporting capabilities on POS transactions.

Proposed Solution:
Develop a Method-Korona POS integration that:

Pulls sales data from Korona into Method in near real-time or at scheduled intervals.

Maps customer information correctly, ensuring deduplication and clean record creation or updates.

Enables users to view, report, and act on Korona sales data directly from Method.

Pushes finalized transactions to QuickBooks from Method with full context and integrity.

Benefits:

Improves the accuracy of customer data in QuickBooks.

Enables better CRM workflows and automations (e.g., follow-ups, reporting, segmentation).

Reduces manual reconciliation or API custom builds, saving time and reducing errors.

Centralizes sales and customer activity for better decision-making.

Current Workaround:
A custom API connection is required to bridge this gap, typically quoted at 10–15 hours of development time. This results in higher onboarding friction and additional support overhead.

.",X-Large (30 + hours),"A custom API connection is required to bridge this gap, typically quoted at 10–15 hours of development time. This results in higher onboarding friction and additional support overhead.",1,1,6,"3,600.00",,
Contacts Management Improvement - Ability to Assign Users to Contacts,"Objective:
Enable CRM users to assign specific sales reps to individual contacts (not just entities/customers) in Method:CRM to support account structures with multiple stakeholders or buyers.

Use Case:
A customer in the procurement industry, focused on supporting government clients, often works with multiple authorized buyers under a single customer account. To streamline communications and manage relationships effectively, they need to assign dedicated sales reps to each contact within an entity.

Proposed Workflow Customization:

Add a Sales Rep (User) field to the Contacts table.

Build UI elements (dropdown, assignment screen, filter views) to allow for:

Manual assignment of reps to contacts.

Visibility of which rep owns which contact.

Optional: Trigger automated workflows or follow-ups based on rep-contact assignment.

Reporting views that show rep activity or pipelines by assigned contact, not just entity.

Benefits:

Supports more granular account management in multi-contact accounts.

Increases accountability and rep visibility into their contact-specific pipelines.

Improves team alignment on which buyers they’re responsible for.

Essential for industries (like government procurement) with layered purchasing structures.

Current Limitation:
Method’s current user assignment logic is at the entity level. Contacts are not individually assignable without a custom table or workaround.",X-Small (1 -2 hours),"This should be a pretty simple customization as most of the CRM and Configuration already revolves around contacts.

It is important to note that changes will need to be applied to view filters to ensure compatibility with permissions.",1,1,3,"1,800.00",,
System Page Improvement - API Improvement - User Interface for Managing REST API Requests and Limits,"Request Summary:
Customers experiencing rate limiting on Method’s REST API have no proactive visibility or control over their API usage. One such customer’s website (managed by Sitecrafting) has been down since 1PM PST due to hitting Method’s API rate limits. This disruption has impacted their operations despite being a long-time customer with relatively stable traffic.

Current Challenge:

No user-facing interface to monitor API usage.

Customers are unable to anticipate or mitigate rate-limiting issues.

The rate limit thresholds are not transparent.

No automated alerts when approaching API limits.

Proposed Solution:
Build a dedicated API Usage Dashboard within Method, accessible to Admin users, with the following features:

Real-time usage tracking: Show total API calls made in the current rate limit window.

Rate limit thresholds: Display the current thresholds (e.g., 5000 calls/hour).

Historical usage graphs: Let users review call volumes over time to identify trends or spikes.

Webhook alerts or email notifications: Allow users to receive alerts when usage approaches 80%/90%/100%.

Allowlist management: Enable advanced users to request temporary limit increases or whitelist trusted services (subject to Method approval).

Benefits:

Proactive issue prevention for customers.

Reduced support burden due to fewer emergency tickets related to rate limits.

Increased transparency and trust for technical teams and developers integrating with Method.

Supporting Details:

Sitecrafting (customer’s dev team) is available to collaborate on this issue.

Traffic has increased, but the issue has occurred during standard usage as well.",Cannot be customized,"At this time this cannot be customized; however, the API Header does report limits and reset times.",1,1,28,"16,800.00",,
Date Function Improvement - A new date format to be added to the current list of display options.,"Raschelle has requested a new date format to be added to the current list of display options. She is specifically looking for the format:

'July 8, 2025' (MMMM DD, YYYY)

Currently, the closest available options are:

'Long Date': 'Tuesday, July 8, 2025'

However, none of these allow for the full date to be displayed without the day of the week, which is what the user is looking for.",X-Small (1 -2 hours),"In theory, this could be manually customized and put together as a character function.

That said,  further flexibility on the date function would be ideal.",1,1,3,"1,800.00",,
Create invoice from multiple Purchase Orders (batch),"Client Context:
Customer operates as a broker within the mercantile industry. Their business model involves facilitating product purchases between suppliers and buyers. They do not fulfill orders directly but instead broker deals and earn commissions based on purchase orders they help bridge.

Requested Enhancement:
The customer is seeking a way to track and manage brokered purchase orders and generate commission-based invoices summarizing their involvement. The goal is to:

Aggregate multiple purchase orders they have brokered.

Create a batch invoice to the end customer reflecting commission amounts due.

Track which POs have already been included in past commission invoices to avoid duplication.


Commission Invoice Output:

Commission invoice template clearly itemizing each PO, supplier, total amount, and the calculated commission.


Reporting Add-on (Optional):

Broker commission report tracking total commissions earned, outstanding commissions, and invoice history.",Large (10 - 30 hours),"Certainly possible; however, there will need to be a customer designation on each PO or PO Line. (Small)

Everything else could flow and be combined into a single invoice per customer.
Commissions and additional work around POs will need to be scoped as the nature of this project seems large.",1,1,2,0.00,,
Date Picker Improvement - Filter on Date Picker - Ability to Grey Out Specific Dates on the Date Selection Object,"The customer would like the ability to disable or grey out specific dates within the Date Selection Object in Method. This feature would help prevent users from selecting unavailable or restricted dates (e.g., holidays, blackout periods, or system maintenance days).",Cannot be customized,"Great feature request, at this time this is not possible; however, on change you can reset the date and provide the user with a message that the date is invalid.",1,1,1,600.00,,
Payment Gateway Improvement - Setting Up Primary and Backup Payment Gateways,"Customer is looking to connect two payment gateways. 

Can we set one as the primary and the other as a backup? Essentially, if the primary gateway fails, the payment should automatically route through the backup gateway.",Cannot be customized,"This cannot be customized; however, with Method Pay this might be something that's possible:

1.) Setup to use Method Pay
2.) If Method Pay fails, roll back to Shuttle. 

Thanks for submitting this we will review it.",1,1,3,"1,800.00",,
Google Calendar Improvement - Integration with RSVP Tracking,"Cameron would like the ability to send Google Calendar meeting invitations directly from Method, which would:

Connect to their Google Calendar

Allow them to send event invitations to clients from within Method

Let clients accept the invite and automatically add it to their own calendars (without requiring the user to log in to Google)

Allow the user to track RSVP responses (accepted/declined status) from within Method


Use Case:
This feature would streamline the scheduling process by keeping everything centralized in Method, eliminating the need to switch platforms. It would also help users track client engagement and attendance more efficiently.",Cannot be customized,"This cannot be customized; however: 


1.)Invite Client Without Google Login Requirement
- Clients receive a standard Google Calendar invite by email (ICS format compatible).
- Clients can RSVP (Yes / No / Maybe) without needing a Google account.

2.) RSVP Tracking
- Display client responses (Accepted / Declined / Tentative) within Method.
- Optionally log RSVP status in the activity timeline or contact history.",1,1,1,600.00,,
Improved  Web to Lead Form Compatibility with Squarespace,"This customer attempted to embed a Method Web to Lead form on their Squarespace website using the steps outlined in the Help Center article.

They placed the  in a Codeblock object, and the preview appeared correct, but the live screen had the Codeblock 'hiding' the footer elements of the page, and wasn't responsive to mobile formatting. ",Cannot be customized,"This isn't a limit of Squarespace, but a limitation inherent to iFrames. An iframe loads content from another source, but isn't aware of the content itself, so if you set the height to 100% it becomes very short. You could try using a VW (viewport width) value for the height rather than PX, which may make it more responsive, but only to the screen width rather than the content.


https://forum.squarespace.com/topic/328148-iframe-how-do-make-the-content-responsive/",1,1,2,0.00,,
API Integration between Method:CRM and Basecamp,"Many teams use Method to manage customer relationships and Basecamp to manage internal and client-facing projects. Currently, there is no direct integration between the two platforms. This results in:

Duplicated efforts: tasks created in Method need to be manually recreated in Basecamp.
Miscommunication: project and task updates are siloed across tools.
Reduced efficiency: no centralized view of customer/project activity.

✅ Proposed Solution
Enable a native or third-party-powered integration between Method:CRM and Basecamp to sync:
Contacts/Customers from Method → Clients in Basecamp (or linked projects).
Opportunities or Work Orders in Method → Basecamp projects.
Activities or Tasks in Method → To-dos in Basecamp (with status sync).
Comments/Notes in Method → Basecamp discussions or message threads.
Optionally, pull Basecamp updates back into Method for visibility within the CRM.

🔗 Use Cases
A CSM closes a deal in Method → automatically creates a project in Basecamp with predefined milestones.
A sales rep wants to track project delivery progress post-sale → can view Basecamp updates within Method.
A customer requests changes via Basecamp → logged back in Method as a customer interaction or task.

⚙️ Technical Considerations
Basecamp 3 and 4 both offer APIs.
Method's REST API can be used to sync objects bi-directionally.
Webhooks can enable real-time sync, or a periodic sync (e.g., hourly) can be used for simplicity.

💡 Benefits
Streamlined workflows between CRM and project management.
Greater visibility into post-sale customer engagement.
Improved internal communication and reduced duplication of work.
Better customer experience through faster handoffs and task accountability.",Large (10 - 30 hours),"This could be a relatively large integration depending on the scope. 
Best to recommend DEP and Project hours for accurate scoping, development, and support.",1,1,1,0.00,,
Xero Improvement - Work Order Improvement - Estimate to Work Order,"The Xero Customer is looking to use Estimates when approving work with their clients, then convert directly into Work Orders to action the work itself. Estimates do not currently have the ability to convert into Work Orders as found on QuickBooks accounts.",X-Small (1 -2 hours),"Very simple customization. 

Should require minimal lift to do.",1,1,1,600.00,,
QBDT Sync Impromvement - Support for  Purchase Order Approvals,"The Customer utilizes a built-in Approvals workflow on QuickBooks Desktop for Purchase Orders. The approval status of the Purchase Order does not appear to carry over to Method, however if a Purchase Order is not approved yet, then any changes made to it on Method are refused by QuickBooks.",Cannot be customized,Cannot be customized.,1,1,3,"1,800.00",,
Portal link Improvement - Ability to create a URL for an entity - rather than a contact,"Customer would like to send an estimate to a customer with multiple contacts. 

Customer request: I’d like to send one email (like in Outlook/Gmail) where all contacts can see each other’s email addresses and access the same estimate link. If I create separate links for each contact, they won’t see who else is included, and replies won’t go to everyone. I also want some security so the link isn’t easily shared outside the company, but I want all customer contacts to access it without sending separate emails.",Cannot be customized,"This cannot nor should be customized. 

Portals are ways that customers can interact with data and make decisions
- Accept Proposals, Estimates, Make Payments, potentiall re-order.

Tracking contact links is critical, to ensure there is an audit trail of decisions.

IF the customer is looking to share a generic link to all contacts, they can use the home portal page.",1,1,1,600.00,,
Gravity Forms – Web-to-Lead Integration with Method (via Zapier or Native Enhancements),"One of our prospects is currently using a web form built on Gravity Forms and wants to replicate the same dynamic, multi-step experience as part of their Method CRM lead intake process. Their existing Gravity Form includes conditional logic where different questions and sections appear based on prior selections, offering a highly interactive and customized intake workflow.

Request:
Can we create a web-to-lead flow in Method CRM that mimics the dynamic conditional logic of their existing Gravity Forms setup?

Goal:
Enable a branded, interactive lead capture experience that sends data to Method CRM, potentially triggering downstream actions like opportunity and estimate creation.",Medium (5-10 hours),"Two Integration Options
🔧 Option 1: Zapier + Gravity Forms
If visual branding and conditional logic are a priority, we recommend using the Gravity Forms + Zapier route.

Flow:

Form submission in Gravity Forms (with conditional logic)

Zapier catches submission and:

Creates a Lead in Method

Creates an Opportunity with supporting data

Optionally, creates an Estimate based on the form data

Pros:

Preserves the branded user experience

Fast to deploy

Minimal configuration inside Method

Cons:

External dependency (Zapier)

Less visibility inside Method until after submission

🔨 Option 2: Native Method Web-to-Lead Page (Custom Build)
Method can replicate much of the dynamic behavior using Show/Hide actions within the Web-to-Lead page.

Flow:

Form dynamically reveals sections based on user input

Data maps to:

Web-to-Lead table

Opportunity table

Estimate table (if applicable)

Pros:

Fully native to Method

All data visible from the start

Can trigger native workflows (e.g., follow-up reminders, status changes)

Cons:

Requires custom work to handle conditional logic

Complex forms may be harder to maintain

Branding/custom styling is more limited

Recommendation:
If the customer’s current Gravity Form is critical to their branding and conversion funnel, Zapier is the faster path with full flexibility. We can support automatic Estimate creation and Opportunity management through the Zapier integration.

If long-term ownership and tighter integration with Method is preferred, we can scope a custom Web-to-Lead form with conditional logic and native record creation.",1,1,3,0.00,,
"Watch - Subscribe to updates - Ability to Share Activities and Add Multiple Watchers - Ability to Watch Transactions, Activities","Customers want the ability to share an activity with multiple users—either for visibility or collaborative tracking. Currently, Method only allows a single user to be assigned to an activity. This limitation prevents teams from being jointly accountable or informed on certain tasks without manual workarounds.

Customer Need:
Share visibility of an activity across a group (e.g., sales manager, support agent, and account owner).
Allow multiple team members to “watch” or “follow” an activity and receive notifications or updates.
Enable activity collaboration without needing to duplicate or reassign tasks.

Current State:
Activities can only be assigned to one user at a time.
A workaround via customization exists, but it is billable and not native.
There is no built-in support for activity “watchers” or shared ownership.",Small (3 -4 hours),"Add support for multiple assignees or watchers on an activity, allowing users to receive notifications and track updates.

Introduce a “shared with” field or watcher list on the activity screen for visibility.

Permissions model to control edit rights vs. view-only access for watchers.

Notification settings so each user can choose if and how they want to be notified of changes to shared activities.",1,1,3,"1,800.00",,
Method Pay - Non QuickBooks Payment Gateways  -Enable/Disable Payments Per Transaction,"Summary:
A customer has requested the ability to control whether QuickBooks Online (QBO) payment options (e.g., credit card, ACH) are enabled or disabled per individual transaction within Method, similar to how QBO allows this functionality.

Current Behavior:

In Method, payment methods are configured globally within Integrations & Payment Gateways.

These settings apply across the board and cannot be toggled per transaction.

At the app level, customization is required to apply conditional logic that restricts or enables specific payment methods based on customer types, transaction types, or other criteria.

Requested Behavior:

Add native support to enable/disable specific QBO payment options on a per-transaction basis, ideally via a checkbox or toggle at the transaction level (e.g., Estimate, Invoice, Sales Receipt).

This would mirror QBO’s functionality and give users greater control over how customers are allowed to pay.

Value to Users:

Offers greater flexibility and aligns payment control with business logic.

Eliminates the need for billable customization to manage different payment experiences for different customers or transactions.

Improves consistency with QBO, reducing confusion and improving adoption.

Customer Follow-Up:
The teammate followed up multiple times and offered support, but no workaround exists without customization. The chat was closed with an invitation to reconnect if further help is needed.",X-Small (1 -2 hours),"This is something that could be customized. 

1.) Global Pay Balance Button would need to be removed.
2.) Conditionally expose the pay button as needed for transactions.
3.) Make sure there is a preference on the customer to remember if they're allowed to pay via portal or not.


Note that this functionality at this time does not sync over from QBO. 
This is a Method specific workflow.",1,1,5,"3,000.00",,
KPI Reporting - Revenue Churn & Revenue Retention KPI Tracking via QuickBooks Invoicing,"Summary:
We are requesting a new feature within Method to track Revenue Churn and Revenue Retention as key performance indicators (KPIs), based on invoice data synced from QuickBooks.

Problem:
Currently, Method does not offer a built-in way to measure customer-level revenue changes over time. This limits our ability to track expansion, contraction, and churn at a revenue level. While we can see individual invoices, there's no automated mechanism to summarize monthly recurring revenue (MRR), lost revenue, or retained revenue based on historical invoicing data.

Proposed Solution:
Enhance Method’s reporting and dashboarding features to calculate and display the following KPIs, leveraging synced QuickBooks invoice data:

Revenue Retention Rate (Gross and Net)

Based on revenue from existing customers across selected time periods

Gross: excludes expansion

Net: includes upsells/expansion revenue

Revenue Churn Rate

Revenue lost from existing customers who stop purchasing or reduce their spend

Identifiable by comparing invoiced amounts from one month to the next

Customer Cohort Revenue Tracking

Group customers by the month of first invoice or onboarding

Track how their revenue changes over time

Optional: MRR/ARR Trend Analysis

Aggregate monthly recurring revenue (if appropriate for business model)

Visualize changes due to churn, contraction, and expansion

Technical Notes:

All calculations should rely on historical invoice records synced from QuickBooks.

Ability to filter by date range, customer class, rep, or product/service category would enhance utility.

Ideally, provide both table and chart visualizations.

Use Case:
This feature would allow Customer Success, Sales, and Finance teams to proactively identify accounts at risk, measure the financial impact of retention efforts, and optimize customer lifecycle strategies.",Large (10 - 30 hours),"A project of this nature is pretty large and should be broken down into key blocks that are digestible. Here are the 5 blocks I recommend before visualizing as a chart / dashboard. 


Block 1: Data Foundation – Sync & Structure
Goal: Ensure that all necessary QuickBooks invoicing data is available and query-ready in Method.

✅ Sync historical and ongoing invoice data from QuickBooks (including customer, date, line items, amounts, and payment status).

✅ Normalize data format for consistent use in reporting (e.g., recurring vs. one-time invoices).

✅ Add support for tagging/classifying customers (e.g., industry, rep, subscription status).

Block 2: Monthly Revenue Snapshot Engine
Goal: Build a reliable mechanism to calculate monthly revenue per customer.

📆 Create logic to group and sum invoices by:

Customer

Month

Class/Rep (if applicable)

🔄 Store snapshots for each month to enable comparison (e.g., April vs. May).

Block 3: Churn & Retention Calculations
Goal: Calculate revenue churn and retention metrics at a customer and cohort level.

📉 Revenue Churn Rate = Revenue lost from existing customers / Total revenue from previous period

📈 Revenue Retention Rate = Revenue from existing customers / Total revenue from previous period

📊 Support both:

Gross Revenue Retention (ignores upsells)

Net Revenue Retention (includes upsells)

Block 4: Cohort Tracking & Segmentation
Goal: Enable tracking revenue changes over time by customer groups.

👥 Group customers by onboarding date (first invoice or CRM entry)

📈 Monitor how revenue from each cohort evolves over 3/6/12 months

🔍 Segment filters (industry, rep, source, etc.)",1,1,1,0.00,,
Batch Emailing - Batch Email Invoices from Invoice Grid,"Summary:
Customers want the ability to email multiple invoices at once directly from the invoice list screen, similar to batch print functionality. This would streamline the invoicing process and reduce manual effort, especially when sending monthly or recurring invoices in bulk.",Small (3 -4 hours),"Feature Details:

Invoice Grid Modification:
Add checkboxes next to each invoice row in the invoice list view to allow for multi-selection.

New Button – “Email Selected”:
A new button will be added above or below the grid labeled 'Email Selected'. When clicked:
The system will collect the selected Invoice RecordIDs
For each record, generate a PDF version of the invoice
Email the invoice using the customer’s default email template and contact email

Customization Notes:
Allow the user to preview or confirm the email batch before sending (optional)
Emails should be sent from the logged-in user’s email address or a default system email
Optionally, include CC/BCC configuration per organization settings",1,1,3,"1,800.00",,
Bills App Improvement - Bill Approval Workflow in Method CRM,"Overview:
The customer is looking to manage their entire bill and expense workflow directly from Method CRM, with tight integration to QuickBooks Online. This includes creating, syncing, and approving bills and purchase orders, with mobile accessibility.

Current Workflow / Use Case:
The customer manages expenses and purchase orders (POs) in QuickBooks Online (QBO).

They rely on Method CRM to streamline their business operations and want to consolidate bill-related tasks within the Method platform.

Requested Enhancements:
Bill Creation & Sync:

Ability to create and view Bills and POs in Method CRM.
Seamless sync between Method CRM and QBO, ensuring all bill data is consistent and up-to-date.

Approval Workflow:

Introduce a Bill Approval Module within Method CRM.
Support for multiple approval statuses: Pending, Approved, Declined.
Optional: Support for multi-level or role-based approval routing.

Mobile Compatibility:
Enable bill approval and rejection actions from the Method mobile app.
Mobile users should receive notifications for bills needing their review.

Audit Trail & Comments:

Include a log of approvals/declines per bill for audit purposes.
Ability to leave comments when approving or rejecting.",Small (3 -4 hours),"This is certainly customizable in the platform. 

Note that a custom permissions workflow may be required as the approver role is disabled on stock apps at this time.",1,1,1,600.00,,
